,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,mois,month
8,8,car,because
9,9,aucun,no
10,10,chaque,each
11,11,parlé,speak
12,12,arrivé,come
13,13,bébé,baby
14,14,heures,hours
15,15,pendant,while
16,16,aucune,any
17,17,place,square
18,18,parle,speak
19,19,attention,Warning
20,20,voici,here is
21,21,affaire,case
22,23,donné,given
23,24,train,train
24,25,corps,body
25,26,endroit,place
26,27,façon,way
27,28,écoute,listen
28,29,dont,whose
29,30,trouve,find
30,31,premier,first
31,32,perdu,lost
32,33,première,first
33,34,vieux,old
34,35,sois,be
35,36,tellement,so much
36,37,venu,came
37,38,pardon,sorry
38,39,venez,come
39,40,minutes,minutes
40,41,demandé,request
41,42,chambre,bedroom
42,43,droit,law
43,44,aimerais,would like to
44,45,aujourd'hui,today
45,46,mari,husband
46,47,cause,cause
47,48,eau,water
48,49,nouvelle,new
49,50,boulot,job
50,51,dirait,would say
51,52,terre,Earth
52,53,compte,account
53,54,chérie,sweetheart
54,55,plutôt,rather
55,56,aura,will have
56,57,filles,girls
57,58,jouer,to play
